uuid,ocdid,state,name
04dbaa8a-d422-5f05-9a7f-1ac1e3915317,ocd-division/country:us/state:oh/place:akron/ward:1,oh,Akron OH City Council ward 1
91a28aab-9b92-5cd6-835e-2a1a5bc84d2d,ocd-division/country:us/state:oh/place:akron/ward:10,oh,Akron OH City Council ward 10
fc880668-5a3e-5233-918d-19f69a444772,ocd-division/country:us/state:oh/place:akron/ward:2,oh,Akron OH City Council ward 2
8db92ea3-470c-5418-a6bb-66541d376da7,ocd-division/country:us/state:oh/place:akron/ward:3,oh,Akron OH City Council ward 3
35b5b801-d9a8-5afc-ad7f-97a4d9dd10da,ocd-division/country:us/state:oh/place:akron/ward:4,oh,Akron OH City Council ward 4
c4faf41a-a267-5b68-979a-fa4583a5bf95,ocd-division/country:us/state:oh/place:akron/ward:5,oh,Akron OH City Council ward 5
ab5b2f24-a172-59ab-b419-77549924b35d,ocd-division/country:us/state:oh/place:akron/ward:6,oh,Akron OH City Council ward 6
a4119661-3e4f-5fe9-b733-e584b18c9532,ocd-division/country:us/state:oh/place:akron/ward:7,oh,Akron OH City Council ward 7
7e813a64-d05e-5972-b140-35e0fb0dc4ad,ocd-division/country:us/state:oh/place:akron/ward:8,oh,Akron OH City Council ward 8
71dcdfce-44e1-5af7-95e4-c3c64646a498,ocd-division/country:us/state:oh/place:akron/ward:9,oh,Akron OH City Council ward 9
0222d269-b1a8-5cf1-8fbb-358b2c3f7ca8,ocd-division/country:us/state:oh/place:cincinnati/ward:1,oh,Cincinnati OH ward 1
25319a06-f086-5f1d-b524-808cea1b659b,ocd-division/country:us/state:oh/place:cincinnati/ward:10,oh,Cincinnati OH ward 10
506782c6-3ce6-55ed-beae-2aa10dd39bc2,ocd-division/country:us/state:oh/place:cincinnati/ward:11,oh,Cincinnati OH ward 11
4aff4f19-b9a3-52d0-b411-d96271d10faa,ocd-division/country:us/state:oh/place:cincinnati/ward:12,oh,Cincinnati OH ward 12
ffebd016-c979-5510-ab78-b889e16b38de,ocd-division/country:us/state:oh/place:cincinnati/ward:13,oh,Cincinnati OH ward 13
ea34aeab-9001-5d4b-94b8-8bd3e9e6ce10,ocd-division/country:us/state:oh/place:cincinnati/ward:14,oh,Cincinnati OH ward 14
37cf3be5-c0bb-5224-a3a0-6a070eb20c61,ocd-division/country:us/state:oh/place:cincinnati/ward:15,oh,Cincinnati OH ward 15
285ec2e3-5e33-59c2-8940-b3a9b0c06016,ocd-division/country:us/state:oh/place:cincinnati/ward:16,oh,Cincinnati OH ward 16
739895ac-fdbd-591b-9670-de8733cb6450,ocd-division/country:us/state:oh/place:cincinnati/ward:17,oh,Cincinnati OH ward 17
42fa85e5-e3f2-5a3b-9207-421fd404d021,ocd-division/country:us/state:oh/place:cincinnati/ward:18,oh,Cincinnati OH ward 18
8f84c6ed-b170-5fa2-9931-423d4259af5e,ocd-division/country:us/state:oh/place:cincinnati/ward:19,oh,Cincinnati OH ward 19
7ea9fa22-f202-5253-a898-bc5435d66160,ocd-division/country:us/state:oh/place:cincinnati/ward:2,oh,Cincinnati OH ward 2
42ff6c4a-a9d4-5c94-8a46-443485d41fe9,ocd-division/country:us/state:oh/place:cincinnati/ward:20,oh,Cincinnati OH ward 20
c19ab215-c7cb-5fe4-8917-665972d1ef56,ocd-division/country:us/state:oh/place:cincinnati/ward:21,oh,Cincinnati OH ward 21
ba1f9e76-9ac9-56b3-89de-6feb5e85fad0,ocd-division/country:us/state:oh/place:cincinnati/ward:22,oh,Cincinnati OH ward 22
91d6ae3f-f048-5ba7-a375-f6dc0b95a4b1,ocd-division/country:us/state:oh/place:cincinnati/ward:23,oh,Cincinnati OH ward 23
2e2179fa-4ac6-5957-bd40-5697495a6fa2,ocd-division/country:us/state:oh/place:cincinnati/ward:24,oh,Cincinnati OH ward 24
ab6248ea-7f8c-55b0-8cf7-26cf68e7a590,ocd-division/country:us/state:oh/place:cincinnati/ward:25,oh,Cincinnati OH ward 25
953c4512-7c09-57ab-b68d-f2e11e01a471,ocd-division/country:us/state:oh/place:cincinnati/ward:26,oh,Cincinnati OH ward 26
f4d51a42-79fc-5b77-a189-cad260598c5e,ocd-division/country:us/state:oh/place:cincinnati/ward:3,oh,Cincinnati OH ward 3
bae5f0ab-7997-5f75-977c-b51ce1b5cb8b,ocd-division/country:us/state:oh/place:cincinnati/ward:4,oh,Cincinnati OH ward 4
ec94d8e2-20eb-5958-83ff-7690c5e31c8c,ocd-division/country:us/state:oh/place:cincinnati/ward:5,oh,Cincinnati OH ward 5
84d128dd-872a-5739-9269-e2af45be2b1f,ocd-division/country:us/state:oh/place:cincinnati/ward:6,oh,Cincinnati OH ward 6
473c6067-621f-5471-98d0-774c82d0e740,ocd-division/country:us/state:oh/place:cincinnati/ward:7,oh,Cincinnati OH ward 7
5ec59a5d-e444-5570-941b-6ab07e673ee0,ocd-division/country:us/state:oh/place:cincinnati/ward:8,oh,Cincinnati OH ward 8
538493d6-1649-5e1b-8783-828652bac8ea,ocd-division/country:us/state:oh/place:cincinnati/ward:9,oh,Cincinnati OH ward 9
4b14799c-5bc2-5ad0-95cb-e22398f5c983,ocd-division/country:us/state:oh/place:cleveland/ward:1,oh,Cleveland OH - ward 1
a3709711-1711-5371-9026-0e31b3205c91,ocd-division/country:us/state:oh/place:cleveland/ward:10,oh,Cleveland OH - ward 10
6c789848-986e-51c5-a522-e18eb8a7d4af,ocd-division/country:us/state:oh/place:cleveland/ward:11,oh,Cleveland OH - ward 11
3ec28d69-b794-5ec1-87c5-764ed41981cf,ocd-division/country:us/state:oh/place:cleveland/ward:12,oh,Cleveland OH - ward 12
722800a1-f3fc-58fb-8af3-7b37f35490e3,ocd-division/country:us/state:oh/place:cleveland/ward:13,oh,Cleveland OH - ward 13
46fd9e28-239d-5c87-988c-df7dac85afb1,ocd-division/country:us/state:oh/place:cleveland/ward:14,oh,Cleveland OH - ward 14
2dfc0910-a393-5c2a-9ebf-769796292643,ocd-division/country:us/state:oh/place:cleveland/ward:15,oh,Cleveland OH - ward 15
e0f32404-55e1-5c06-af63-357e0fc1cddf,ocd-division/country:us/state:oh/place:cleveland/ward:16,oh,Cleveland OH - ward 16
bd58aba6-b6fb-5307-b7cc-bda65bc16a2c,ocd-division/country:us/state:oh/place:cleveland/ward:17,oh,Cleveland OH - ward 17
082f61d2-55d4-52a1-8e8b-432a7095e717,ocd-division/country:us/state:oh/place:cleveland/ward:18,oh,Cleveland OH - ward 18 (defunct as of 2014)
19b0fc88-6002-5431-9d04-fa61650a9a48,ocd-division/country:us/state:oh/place:cleveland/ward:19,oh,Cleveland OH - ward 19 (defunct as of 2014)
51ab5f33-86c8-5f8a-ac31-736150c715e0,ocd-division/country:us/state:oh/place:cleveland/ward:2,oh,Cleveland OH - ward 2
a61d2694-63bc-56cf-a279-1aa0df343c4f,ocd-division/country:us/state:oh/place:cleveland/ward:3,oh,Cleveland OH - ward 3
87d14ba0-2c5b-59f2-8496-0f1baecce994,ocd-division/country:us/state:oh/place:cleveland/ward:4,oh,Cleveland OH - ward 4
bb559f2f-71fc-5509-ae3a-98f8531b8707,ocd-division/country:us/state:oh/place:cleveland/ward:5,oh,Cleveland OH - ward 5
d2fb64d6-8332-59c7-b030-b79fc1113888,ocd-division/country:us/state:oh/place:cleveland/ward:6,oh,Cleveland OH - ward 6
c099fd37-9a8c-5bfd-b737-b130cf53bf49,ocd-division/country:us/state:oh/place:cleveland/ward:7,oh,Cleveland OH - ward 7
8d98cdfc-573d-56c3-af59-f8e5c1af6f78,ocd-division/country:us/state:oh/place:cleveland/ward:8,oh,Cleveland OH - ward 8
90eba64b-3e98-5038-ab2d-d024e7a59524,ocd-division/country:us/state:oh/place:cleveland/ward:9,oh,Cleveland OH - ward 9
b7a4e5dd-31ed-537c-b16a-8ddddec0c1a7,ocd-division/country:us/state:oh/place:columbus/ward:1,oh,Columbus OH ward 1
079e2fbe-26fa-588c-a02f-f56644e22015,ocd-division/country:us/state:oh/place:columbus/ward:10,oh,Columbus OH ward 10
73b105b8-1ff9-59c3-8229-9b88a3288c5f,ocd-division/country:us/state:oh/place:columbus/ward:11,oh,Columbus OH ward 11
2c46c3d9-a46f-5b60-99ef-3ff02668f593,ocd-division/country:us/state:oh/place:columbus/ward:12,oh,Columbus OH ward 12
37b16209-b29e-5176-b826-b99d54b8a901,ocd-division/country:us/state:oh/place:columbus/ward:13,oh,Columbus OH ward 13
8b8ba658-a77f-5ab9-a6fd-830a90662bf4,ocd-division/country:us/state:oh/place:columbus/ward:14,oh,Columbus OH ward 14
1536e2a0-18e7-53f7-9c7a-34fe5565d93a,ocd-division/country:us/state:oh/place:columbus/ward:15,oh,Columbus OH ward 15
af1bc498-df59-5f6b-a226-16a37a75e4c0,ocd-division/country:us/state:oh/place:columbus/ward:16,oh,Columbus OH ward 16
b6d07f11-117b-5bb4-a0c2-22ca07936b30,ocd-division/country:us/state:oh/place:columbus/ward:17,oh,Columbus OH ward 17
197e45f8-6843-5056-b27b-ca4bb3476831,ocd-division/country:us/state:oh/place:columbus/ward:18,oh,Columbus OH ward 18
bf82ce3a-70a5-5698-9b67-0aa85219eb0c,ocd-division/country:us/state:oh/place:columbus/ward:19,oh,Columbus OH ward 19
3b19b698-f863-518a-b301-330a13fb6434,ocd-division/country:us/state:oh/place:columbus/ward:2,oh,Columbus OH ward 2
2d248e99-bd6d-5d9b-992b-2751d48e14d8,ocd-division/country:us/state:oh/place:columbus/ward:20,oh,Columbus OH ward 20
79f4e9b8-d686-56f4-8838-aa4009e10be7,ocd-division/country:us/state:oh/place:columbus/ward:21,oh,Columbus OH ward 21
12b77792-340e-5ed1-8124-ea62fbaebf3d,ocd-division/country:us/state:oh/place:columbus/ward:22,oh,Columbus OH ward 22
c3550ef6-f487-5103-8ada-1ac09de1a69d,ocd-division/country:us/state:oh/place:columbus/ward:23,oh,Columbus OH ward 23
f39ab984-3e19-5123-9306-6ad209d147e0,ocd-division/country:us/state:oh/place:columbus/ward:24,oh,Columbus OH ward 24
