category,source,url,notes,module,fixture
Census government listings,Census of Governments: Organization - Government Units listing (benchmark),https://www2.census.gov/programs-surveys/gus/datasets/2022/govt_units_2022.ZIP,"Years ending in 2 and 7; landing page https://www.census.gov/data/datasets/2022/econ/gus/public-use-files.html; methodology https://www2.census.gov/programs-surveys/gus/datasets/2022/2022_gov_org_meth_tech_doc.pdf",src/sources/census_governments.py,tests/fixtures/census_governments/
Census government listings,Annual Government Units listing (GMAF snapshot),https://www2.census.gov/programs-surveys/gus/datasets/<year>/gov_units_<year>.zip,"2024 onward in non-census years; directory index https://www2.census.gov/programs-surveys/gus/datasets/; program page https://www.census.gov/programs-surveys/gus.html",src/sources/census_gus.py,tests/fixtures/census_gus/
Census government listings,Special-district function codes (classification manual),https://www2.census.gov/govs/pubs/classification/2006_classification_manual.pdf,Reference only,,
Census government listings,FIPS code reference files,https://www.census.gov/programs-surveys/popest/geographies/reference-files.2023.html,Reference only,,
Census geography,TIGER/Line shapefiles 2025 - state,https://www2.census.gov/geo/tiger/TIGER2025/STATE/tl_2025_us_state.zip,Attribute table only; national file,src/sources/census_tiger.py,tests/fixtures/tiger/tl_2025_us_state.csv
Census geography,TIGER/Line shapefiles 2025 - county,https://www2.census.gov/geo/tiger/TIGER2025/COUNTY/tl_2025_us_county.zip,Attribute table only; national file,src/sources/census_tiger.py,tests/fixtures/tiger/tl_2025_us_county.csv
Census geography,TIGER/Line shapefiles 2025 - place,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_<st>_place.zip,Attribute table only; one file per state FIPS; CDPs share this file,src/sources/census_tiger.py,tests/fixtures/tiger/tl_2025_place.csv
Census geography,TIGER/Line shapefiles 2025 - county subdivision,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_<st>_cousub.zip,Attribute table only; one file per state FIPS,src/sources/census_tiger.py,tests/fixtures/tiger/tl_2025_cousub.csv
Census geography,TIGER/Line shapefiles 2025 - unified school district,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_<st>_unsd.zip,Attribute table only; one file per state FIPS,src/sources/census_tiger.py,tests/fixtures/tiger/tl_2025_unsd.csv
Census geography,TIGER/Line shapefiles 2025 - elementary school district,https://www2.census.gov/geo/tiger/TIGER2025/ELSD/tl_2025_<st>_elsd.zip,Attribute table only; not published for every state,src/sources/census_tiger.py,tests/fixtures/tiger/tl_2025_elsd.csv
Census geography,TIGER/Line shapefiles 2025 - secondary school district,https://www2.census.gov/geo/tiger/TIGER2025/SCSD/tl_2025_<st>_scsd.zip,Attribute table only; not published for every state,src/sources/census_tiger.py,tests/fixtures/tiger/tl_2025_scsd.csv
Census geography,TIGERweb - states,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/0,GeoJSON query: <layer>/query?where=GEOID%3D'<geoid>'&outFields=*&outSR=4326&f=geojson,src/sources/census_tiger.py (tigerweb_query_url),config/tiger_layers.yaml
Census geography,TIGERweb - counties,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1,Same query template,src/sources/census_tiger.py (tigerweb_query_url),config/tiger_layers.yaml
Census geography,TIGERweb - county subdivisions,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Places_CouSub_ConCity_SubMCD/MapServer/1,Same query template,src/sources/census_tiger.py (tigerweb_query_url),config/tiger_layers.yaml
Census geography,TIGERweb - incorporated places,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Places_CouSub_ConCity_SubMCD/MapServer/4,Same query template,src/sources/census_tiger.py (tigerweb_query_url),config/tiger_layers.yaml
Census geography,TIGERweb - census designated places,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Places_CouSub_ConCity_SubMCD/MapServer/5,Same query template,src/sources/census_tiger.py (tigerweb_query_url),config/tiger_layers.yaml
Census geography,TIGERweb - unified school districts,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/School/MapServer/0,Same query template,src/sources/census_tiger.py (tigerweb_query_url),config/tiger_layers.yaml
Census geography,TIGERweb - secondary school districts,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/School/MapServer/1,Same query template,src/sources/census_tiger.py (tigerweb_query_url),config/tiger_layers.yaml
Census geography,TIGERweb - elementary school districts,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/School/MapServer/2,Same query template,src/sources/census_tiger.py (tigerweb_query_url),config/tiger_layers.yaml
Census geography,LSAD legal/statistical area codes,https://www.census.gov/library/reference/code-lists/legal-status-codes.html,Scraped once into src/data/lsad_map.json,src/data/lsad_mapper.py,src/data/lsad_map.json
Open Civic Data,OCD division-id master (national),https://raw.githubusercontent.com/opencivicdata/ocd-division-ids/master/identifiers/country-us.csv,Repository https://github.com/opencivicdata/ocd-division-ids,src/sources/ocd_master.py,tests/fixtures/ocd_master/country-us.csv
Open Civic Data,OCD per-state local-government lists,https://raw.githubusercontent.com/opencivicdata/ocd-division-ids/master/identifiers/country-us/state-<st>-local_gov.csv,Headerless id/name CSV,src/sources/ocd_master.py,
Legacy validation,civicdata.tech validation spreadsheet (divisions/states/counties tabs),https://docs.google.com/spreadsheets/d/139NETp-iofSoHtl_-IdSSph6xf_ePFVtR8l6KWYadSI/export?format=csv&gid=1481694121,Still read by the existing generate stage until Phases 5-6 replace it,src/init_migration/generate_pipeline.py,tests/fixtures/sources/civicdata_*.csv
