key,count,depth
anc,336,3
board_of_education,99,3
board_of_elections,2,3
board_of_equalization,4,3
board_of_regents,29,3
borough,77,3
cd,616,3
census_area,43,3
chancery_court,20,3
circuit_court,452,3
commissioner_district,243,4
constable_district,5,4
council_district,15105,"4,5"
country,194977,1
county,143933,"3,4"
court_of_appeals,232,"2,3"
district,565,"2,4"
district_court,1108,3
executive_district,248,"3,4"
governors_council,8,3
health_care,2,4
la_metro_sector,4,4
municipality,2,3
municipio,78,3
parish,4992,3
park_district,5,4
place,51574,"3,4"
precinct,110161,"4,5"
public_service_commission,23,3
region,28,"3,5"
sanitation,10,4
school_board_district,282,"4,5"
school_district,17244,"3,4,5"
sewer,1,3
sldl,6226,3
sldu,2035,3
state,194135,2
superior_court,57,3
supreme_court,29,3
territory,191,2
transit,14,3
ward,8695,"3,4,5"
water,19,4
